Date,Price,Open,High,Low,Change %
01/09/2024,-0.201,-0.189,-0.186,-0.201,8.04%
01/08/2024,-0.186,-0.186,-0.186,-0.186,-7.44%
01/05/2024,-0.201,-0.209,-0.189,-0.209,0.00%
01/04/2024,-0.201,-0.212,-0.201,-0.212,-4.73%
01/03/2024,-0.212,-0.212,-0.212,-0.212,-4.51%
12/29/2023,-0.221,-0.215,-0.212,-0.221,-0.45%
12/28/2023,-0.222,-0.221,-0.221,-0.222,0.45%
12/27/2023,-0.221,-0.216,-0.216,-0.221,0.00%
12/26/2023,-0.221,-0.221,-0.221,-0.221,0.00%
12/25/2023,-0.221,-0.219,-0.219,-0.221,0.00%
12/24/2023,-0.221,-0.221,-0.221,-0.221,18.77%
12/22/2023,-0.186,-0.209,-0.167,-0.244,0.00%
12/21/2023,-0.186,-0.209,-0.186,-0.209,0.00%
12/20/2023,-0.186,-0.209,-0.186,-0.209,0.00%
12/19/2023,-0.186,-0.209,-0.186,-0.209,0.00%
12/18/2023,-0.186,-0.209,-0.186,-0.209,0.00%
12/17/2023,-0.186,-0.186,-0.186,-0.186,19.17%
12/15/2023,-0.156,-0.155,-0.155,-0.156,0.00%
12/14/2023,-0.156,-0.157,-0.156,-0.244,-35.99%
12/13/2023,-0.244,-0.156,-0.155,-0.244,56.23%
12/12/2023,-0.156,-0.149,-0.149,-0.156,0.00%
12/11/2023,-0.156,-0.149,-0.144,-0.156,0.00%
12/10/2023,-0.156,-0.156,-0.156,-0.156,0.00%
12/08/2023,-0.156,-0.162,-0.156,-0.162,-3.10%
12/07/2023,-0.162,-0.159,-0.159,-0.254,0.00%
12/06/2023,-0.162,-0.159,-0.147,-0.162,0.00%
12/05/2023,-0.162,-0.159,-0.147,-0.162,0.00%
12/04/2023,-0.162,-0.167,-0.146,-0.167,-3.00%
12/03/2023,-0.167,-0.167,-0.167,-0.167,0.00%
12/01/2023,-0.167,-0.164,-0.152,-0.167,0.00%
11/30/2023,-0.167,-0.212,-0.152,-0.212,-20.33%
11/29/2023,-0.209,-0.212,-0.209,-0.212,-1.18%
11/28/2023,-0.212,-0.208,-0.189,-0.216,-2.31%
11/27/2023,-0.216,-0.212,-0.209,-0.221,-2.26%
11/26/2023,-0.221,-0.221,-0.221,-0.221,-18.42%
11/24/2023,-0.271,-0.269,-0.229,-0.271,0.00%
11/23/2023,-0.271,-0.271,-0.271,-0.271,0.00%
11/22/2023,-0.271,-0.269,-0.266,-0.271,0.00%
11/21/2023,-0.271,-0.269,-0.269,-0.271,0.00%
11/20/2023,-0.271,-0.252,-0.252,-0.271,0.00%
11/19/2023,-0.271,-0.271,-0.271,-0.271,28.37%
11/17/2023,-0.212,-0.247,-0.212,-0.247,-13.50%
11/16/2023,-0.244,-0.247,-0.244,-0.247,0.00%
